,gold_spot_price,central_bank_gold_purchase_index,geopolitical_risk_index,lockin_cost_600547,lockin_cost_600489
2025-11-17,8.88,119.67654986522913,50.855732001571184,100.0,100.0
2025-11-18,8.78,118.32884097035038,52.6760563380282,100.0,100.0
2025-11-19,8.95,120.6199460916442,52.32590921905834,100.0,100.0
2025-11-20,8.9,119.94609164420487,51.04366467336114,100.0,100.0
2025-11-21,8.83,119.00269541778977,50.762109066275244,100.0,100.0
2025-11-24,8.86,119.40700808625336,50.15528827150035,100.0,100.0
2025-11-25,9.01,121.42857142857142,53.802816901408434,100.0,100.0
2025-11-26,9.01,121.42857142857142,53.346080305927316,100.0,100.0
2025-11-27,9.01,121.42857142857142,52.905181608937326,100.0,100.0
2025-11-28,9.07,122.23719676549867,54.18978756796146,100.0,100.0
2025-12-01,9.16,123.45013477088949,56.195111036527365,100.0,100.0
2025-12-02,9.11,122.77628032345014,54.27040303673098,100.0,100.0
2025-12-03,9.1,122.64150943396226,53.43953656770457,100.0,100.0
2025-12-04,9.06,122.10242587601078,51.904576544514256,100.0,100.0
2025-12-05,9.14,123.18059299191376,53.63525363525363,100.0,100.0
2025-12-08,9.11,122.77628032345014,52.56445799833654,100.0,100.0
2025-12-09,9.05,121.96765498652292,50.914938449595226,100.0,100.0
2025-12-10,9.1,122.64150943396226,52.20331467213563,100.0,100.0
2025-12-11,9.11,122.77628032345014,52.578462903404684,100.0,100.0
2025-12-12,9.23,124.3935309973046,55.72117249404336,100.0,100.0
2025-12-15,9.35,126.01078167115902,58.3729413065104,100.0,100.0
2025-12-16,9.24,124.52830188679245,54.68577728776187,100.0,100.0
2025-12-17,9.31,125.47169811320755,56.106954225352126,100.0,100.0
2025-12-18,9.32,125.60646900269543,55.79097595784395,100.0,100.0
2025-12-19,9.31,125.47169811320755,54.84506733822404,100.0,100.0
2025-12-22,9.51,128.16711590296498,59.3966504827887,100.0,100.0
2025-12-23,9.64,129.9191374663073,62.04197020767644,100.0,100.0
2025-12-24,9.64,129.9191374663073,61.14753210164166,100.0,100.0
2025-12-25,9.57,128.9757412398922,58.46702317290554,100.0,100.0
2025-12-26,9.65,130.05390835579516,59.81368800818477,100.0,100.0
2025-12-29,9.56,128.84097035040432,56.837354252861196,100.0,100.0
2025-12-30,9.36,126.1455525606469,51.12685125563428,100.0,100.0
2025-12-31,9.3,125.3369272237197,50.75042881646653,100.0,100.0
2026-01-05,9.49,127.89757412398923,53.7568853949409,100.0,100.0
2026-01-06,9.58,129.11051212938006,55.562076508563166,100.0,100.0
2026-01-07,9.52,128.30188679245282,53.407155025553664,100.0,100.0
2026-01-08,9.51,128.16711590296498,52.5225703664365,100.0,100.0
2026-01-09,9.59,129.24528301886792,53.985910270671134,100.0,100.0
2026-01-26,10.92,147.16981132075472,86.46379853095488,100.0,100.0
2026-01-27,10.93,147.3045822102426,84.19136765470614,100.0,100.0
2026-01-28,11.28,152.02156334231805,90.37738763321835,100.0,100.0
2026-01-29,11.9,160.37735849056605,100.0,100.0,100.0
2026-01-30,11.01,148.38274932614556,77.20429024623594,100.0,100.0
2026-02-02,9.91,133.5579514824798,51.2300431770258,100.0,100.0
2026-02-03,10.42,140.43126684636118,60.12282190823299,100.0,100.0
2026-02-04,10.87,146.49595687331535,69.52640714108605,100.0,100.0
2026-02-05,10.52,141.7789757412399,59.71461018120773,100.0,100.0
2026-02-06,10.36,139.62264150943395,54.85854858548584,100.0,100.0
2026-02-09,10.72,144.4743935309973,62.23091976516633,100.0,100.0
2026-02-10,10.67,143.80053908355794,59.71180995034565,100.0,100.0
2026-02-11,10.76,145.01347708894878,60.381376439841276,100.0,100.0
2026-02-12,10.72,144.4743935309973,57.71708818155592,100.0,100.0
2026-02-13,10.57,142.45283018867926,52.568697729988024,100.0,100.0
2026-02-24,10.95,147.57412398921832,59.835793270371596,100.0,100.0
2026-02-25,10.96,147.70889487870622,58.38087604318921,100.0,100.0
2026-02-26,10.91,147.03504043126685,55.52744987820874,100.0,100.0
2026-02-27,10.93,147.3045822102426,54.30432759422983,100.0,100.0
2026-03-02,11.42,153.90835579514825,63.4614497300789,100.0,100.0
2026-03-03,11.26,151.7520215633423,59.363339015064255,100.0,100.0
2026-03-04,10.98,147.97843665768195,52.85556374355195,100.0,100.0
2026-03-05,10.96,147.70889487870622,52.76752767527677,100.0,100.0
2026-03-06,10.87,146.49595687331535,51.88858506743289,100.0,100.0
2026-03-09,10.87,146.49595687331535,52.052126327505455,100.0,100.0
2026-03-10,10.96,147.70889487870622,52.9075133837918,100.0,100.0
2026-03-11,10.97,147.84366576819409,52.49735303595272,100.0,100.0
2026-03-12,10.94,147.43935309973045,51.72572480441785,100.0,100.0
2026-03-13,10.8,145.55256064690028,51.81542421178418,100.0,100.0
2026-03-16,10.66,143.6657681940701,55.369928400954656,100.0,100.0
2026-03-17,10.64,143.39622641509436,55.739210284664786,100.0,100.0
2026-03-18,10.61,142.99191374663073,56.36079728116104,100.0,100.0
2026-03-23,8.94,120.48517520215634,92.9788810670619,100.0,100.0
2026-03-24,9.3,125.3369272237197,83.2167832167832,100.0,100.0
2026-03-25,9.64,129.9191374663073,74.31287165800438,100.0,100.0
2026-03-26,9.45,127.35849056603772,77.19620879898149,100.0,100.0
2026-03-27,9.49,127.89757412398923,74.69135802469133,100.0,100.0
2026-03-30,9.66,130.18867924528303,69.28588488177691,100.0,100.0
2026-03-31,9.7,130.7277628032345,66.9613684412839,100.0,100.0
2026-04-01,10.02,135.04043126684635,57.64318885448917,100.0,100.0
2026-04-02,9.74,131.266846361186,62.670565302144254,100.0,100.0
2026-04-03,9.83,132.4797843665768,59.12766478804217,100.0,100.0
2026-04-07,9.84,132.6145552560647,57.55186517518355,100.0,100.0
2026-04-08,10.11,136.2533692722372,50.03709749220948,100.0,100.0
2026-04-09,9.91,133.5579514824798,53.73987376372947,100.0,100.0
2026-04-10,9.97,134.36657681940702,51.02387373888718,100.0,100.0
2026-04-13,9.92,133.69272237196765,50.966511020736085,100.0,100.0
2026-04-14,10.01,134.9056603773585,52.471751412429334,100.0,100.0
2026-04-15,10.06,135.57951482479785,54.68354430379747,100.0,100.0
2026-04-16,10.1,136.11859838274933,56.42327612470805,100.0,100.0
2026-04-17,10.03,135.17520215633422,55.43727397748683,100.0,100.0
2026-04-20,10.04,135.3099730458221,56.43645279934613,100.0,100.0
2026-04-21,10.01,134.9056603773585,54.28034344358075,100.0,100.0
2026-04-22,10.0,134.77088948787062,53.12610742672004,100.0,100.0
2026-04-23,9.9,133.4231805929919,50.26543303503718,100.0,100.0
2026-04-24,9.83,132.4797843665768,51.98062269768381,100.0,100.0
2026-04-27,9.9,133.4231805929919,50.73018430859098,100.0,100.0
2026-04-28,9.73,131.13207547169813,55.0969041026932,100.0,100.0
2026-04-29,9.64,129.9191374663073,57.28888665088873,100.0,100.0
2026-04-30,9.68,130.45822102425873,55.86380832282471,100.0,100.0
2026-05-06,9.79,131.9407008086253,53.151790216843196,100.0,100.0
2026-05-07,9.91,133.5579514824798,50.22683738280069,100.0,100.0
2026-05-08,9.88,133.15363881401618,51.033161979639154,100.0,100.0
2026-05-11,9.77,131.67115902964957,53.38247172859452,100.0,100.0
2026-05-12,9.81,132.21024258760107,52.24770178805936,100.0,100.0
2026-05-13,9.8,132.07547169811323,52.287548657802894,100.0,100.0
2026-05-14,9.79,131.9407008086253,52.37757992715498,100.0,100.0
2026-05-15,9.55,128.70619946091645,57.88459588277052,100.0,100.0
2026-05-18,9.51,128.16711590296498,58.22443687395128,100.0,100.0
2026-05-19,9.52,128.30188679245282,57.254321995002336,100.0,100.0
2026-05-20,9.37,126.28032345013476,60.27222023230826,100.0,100.0
2026-05-21,9.45,127.35849056603772,57.49332785875595,100.0,100.0
2026-05-22,9.46,127.49326145552561,56.54948787894386,100.0,100.0
2026-05-25,9.51,128.16711590296498,54.64396284829724,100.0,100.0
2026-05-26,9.45,127.35849056603772,55.62451512800624,100.0,100.0
2026-05-27,9.35,126.01078167115902,57.60875200912531,100.0,100.0
2026-05-28,9.13,123.04582210242589,62.36335242061426,100.0,100.0
2026-05-29,9.4,126.68463611859839,54.9147416175627,100.0,100.0
2026-06-01,9.34,125.87601078167117,56.09756097560973,100.0,100.0
2026-06-02,9.41,126.81940700808624,53.92259414225943,100.0,100.0
2026-06-03,9.28,125.06738544474392,56.67313440662862,100.0,100.0
2026-06-04,9.29,125.2021563342318,55.61635187036355,100.0,100.0
2026-06-05,9.25,124.66307277628033,55.859375,100.0,100.0
2026-06-08,8.95,120.6199460916442,62.7505036581487,100.0,100.0
2026-06-09,9.01,121.42857142857142,60.14268980939198,100.0,100.0
2026-06-10,8.74,117.78975741239893,66.00985221674875,100.0,100.0
2026-06-11,8.51,114.6900269541779,70.5952124218245,100.0,100.0
2026-06-12,8.66,116.71159029649596,65.42607941925347,100.0,100.0
2026-06-15,8.93,120.35040431266846,57.35014401391229,100.0,100.0
2026-06-16,8.95,120.6199460916442,56.05102485826431,100.0,100.0
2026-06-17,8.96,120.75471698113209,55.23138283341523,100.0,100.0
2026-06-18,8.91,120.08086253369272,55.87703435804704,100.0,100.0
2026-06-22,8.72,117.52021563342319,60.11004126547455,100.0,100.0
2026-06-23,8.54,115.09433962264151,63.801305454143176,100.0,100.0
2026-06-24,8.52,114.82479784366578,63.1359466221852,100.0,100.0
2026-06-25,8.29,111.72506738544475,68.16376754852061,100.0,100.0
2026-06-26,8.39,113.07277628032347,64.39202471215947,100.0,100.0
2026-06-29,8.45,113.88140161725066,61.434217955957116,100.0,100.0
2026-06-30,8.38,112.93800539083558,62.1210400817531,100.0,100.0
2026-07-01,8.27,111.45552560646901,63.71428571428574,100.0,100.0
2026-07-02,8.47,114.15094339622642,56.87467707675526,100.0,100.0
2026-07-03,8.67,116.84636118598384,50.24485798237023,100.0,100.0
2026-07-06,8.63,116.30727762803235,50.50592656837231,100.0,100.0
2026-07-07,8.6,115.90296495956873,50.86906141367321,100.0,100.0
2026-07-08,8.59,115.76819407008085,50.551748170519176,100.0,100.0
2026-07-09,8.54,115.09433962264151,51.71531573438774,100.0,100.0
2026-07-10,8.54,115.09433962264151,51.75861868496022,100.0,100.0
2026-07-13,8.42,113.47708894878706,54.90481457763286,100.0,100.0
2026-07-14,8.37,112.8032345013477,55.56334326265995,100.0,100.0
2026-07-15,8.37,112.8032345013477,54.732462052394084,100.0,100.0
2026-07-16,8.36,112.66846361185982,54.16103040639889,100.0,100.0
2026-07-17,8.31,111.9946091644205,54.76598005075837,100.0,100.0
2026-07-20,8.32,112.12938005390836,53.88984203987455,100.0,100.0
2026-07-21,8.47,114.15094339622642,50.651041666666686,100.0,100.0
2026-07-22,8.56,115.36388140161726,53.254437869822546,100.0,100.0
2026-07-23,8.56,115.36388140161726,52.85047557157208,100.0,100.0
2026-07-24,8.38,112.93800539083558,52.451849226042775,100.0,100.0
2026-07-27,8.5,114.55525606469004,51.018841178902605,100.0,100.0
2026-07-28,8.4,113.20754716981132,51.96362133112854,100.0,100.0
2026-07-29,8.39,113.07277628032347,52.43434641487164,100.0,100.0
2026-07-30,8.36,112.66846361185982,53.1593244360458,100.0,100.0
2026-07-31,8.43,113.61185983827494,50.73920756948554,100.0,100.0
2026-08-03,8.42,113.47708894878706,50.72532417549889,100.0,100.0
2026-08-04,8.41,113.3423180592992,50.74096028452875,100.0,100.0
2026-08-05,8.64,116.44204851752022,56.00000000000001,100.0,100.0
2026-08-06,8.79,118.46361185983827,60.05917159763314,100.0,100.0
2026-08-07,8.89,119.81132075471699,62.474165928550384,100.0,100.0
2026-08-10,9.01,121.42857142857142,65.09356243380017,100.0,100.0
2026-08-11,9.01,121.42857142857142,64.09895650134834,100.0,100.0
2026-08-12,9.1,122.64150943396226,65.60037359173427,100.0,100.0
2026-08-13,9.04,121.83288409703503,62.80597709169135,100.0,100.0
2026-08-14,8.95,120.6199460916442,59.22493193535306,100.0,100.0
2026-08-17,9.07,122.23719676549867,61.56419425539279,100.0,100.0
2026-08-18,9.08,122.37196765498652,60.934536467613114,100.0,100.0
2026-08-19,8.97,120.88948787061994,57.16743119266056,100.0,100.0
2026-08-27,9.45,127.35849056603772,69.55331165497171,100.0,100.0
