,temperature,sentiment_mood,suggested_cash_pct
2024-03-08,39.4,中性均衡,25.0
2024-03-11,36.6,中性均衡,25.0
2024-03-12,35.1,中性均衡,25.0
2024-03-13,37.7,中性均衡,25.0
2024-03-14,34.8,恐慌防御,50.0
2024-03-15,24.2,恐慌防御,50.0
2024-03-18,36.2,中性均衡,25.0
2024-03-19,39.5,中性均衡,25.0
2024-03-20,36.4,中性均衡,25.0
2024-03-21,40.5,中性均衡,25.0
2024-03-22,41.6,中性均衡,25.0
2024-03-25,58.7,中性均衡,25.0
2024-03-26,40.3,中性均衡,25.0
2024-03-27,51.5,中性均衡,25.0
2024-03-28,44.9,中性均衡,25.0
2024-03-29,39.0,中性均衡,25.0
2024-04-01,43.7,中性均衡,25.0
2024-04-02,44.7,中性均衡,25.0
2024-04-03,47.3,中性均衡,25.0
2024-04-04,55.0,中性均衡,25.0
2024-04-05,59.0,中性均衡,25.0
2024-04-08,60.0,中性均衡,25.0
2024-04-09,56.1,中性均衡,25.0
2024-04-10,55.8,中性均衡,25.0
2024-04-11,57.3,中性均衡,25.0
2024-04-12,60.1,中性均衡,25.0
2024-04-15,57.0,中性均衡,25.0
2024-04-16,50.7,中性均衡,25.0
2024-04-17,59.0,中性均衡,25.0
2024-04-18,57.1,中性均衡,25.0
2024-04-19,64.4,中性均衡,25.0
2024-04-22,57.0,中性均衡,25.0
2024-04-23,38.8,中性均衡,25.0
2024-04-24,50.1,中性均衡,25.0
2024-04-25,60.5,中性均衡,25.0
2024-04-26,56.1,中性均衡,25.0
2024-04-29,56.6,中性均衡,25.0
2024-04-30,59.9,中性均衡,25.0
2024-05-01,57.3,中性均衡,25.0
2024-05-02,54.3,中性均衡,25.0
2024-05-03,38.9,中性均衡,25.0
2024-05-06,53.4,中性均衡,25.0
2024-05-07,47.9,中性均衡,25.0
2024-05-08,54.1,中性均衡,25.0
2024-05-09,44.8,中性均衡,25.0
2024-05-10,43.0,中性均衡,25.0
2024-05-13,43.6,中性均衡,25.0
2024-05-14,43.5,中性均衡,25.0
2024-05-15,41.5,中性均衡,25.0
2024-05-16,43.2,中性均衡,25.0
2024-05-17,28.0,恐慌防御,50.0
2024-05-20,39.3,中性均衡,25.0
2024-05-21,39.8,中性均衡,25.0
2024-05-22,42.7,中性均衡,25.0
2024-05-23,47.8,中性均衡,25.0
2024-05-24,32.9,恐慌防御,50.0
2024-05-27,31.3,恐慌防御,50.0
2024-05-28,32.5,恐慌防御,50.0
2024-05-29,55.3,中性均衡,25.0
2024-05-30,42.7,中性均衡,25.0
2024-05-31,50.6,中性均衡,25.0
2024-06-03,43.1,中性均衡,25.0
2024-06-04,33.8,恐慌防御,50.0
2024-06-05,36.3,中性均衡,25.0
2024-06-06,35.5,中性均衡,25.0
2024-06-07,41.7,中性均衡,25.0
2024-06-10,38.9,中性均衡,25.0
2024-06-11,49.3,中性均衡,25.0
2024-06-12,55.9,中性均衡,25.0
2024-06-13,39.0,中性均衡,25.0
2024-06-14,53.8,中性均衡,25.0
2024-06-17,45.2,中性均衡,25.0
2024-06-18,46.9,中性均衡,25.0
2024-06-19,45.9,中性均衡,25.0
2024-06-20,63.4,中性均衡,25.0
2024-06-21,62.4,中性均衡,25.0
2024-06-24,67.3,积极乐观,10.0
2024-06-25,65.8,积极乐观,10.0
2024-06-26,50.3,中性均衡,25.0
2024-06-27,60.4,中性均衡,25.0
2024-06-28,54.8,中性均衡,25.0
2024-07-01,60.0,中性均衡,25.0
2024-07-02,49.3,中性均衡,25.0
2024-07-03,54.6,中性均衡,25.0
2024-07-04,57.1,中性均衡,25.0
2024-07-05,61.3,中性均衡,25.0
2024-07-08,49.8,中性均衡,25.0
2024-07-09,38.9,中性均衡,25.0
2024-07-10,45.2,中性均衡,25.0
2024-07-11,38.9,中性均衡,25.0
2024-07-12,49.4,中性均衡,25.0
2024-07-15,43.8,中性均衡,25.0
2024-07-16,37.8,中性均衡,25.0
2024-07-17,38.0,中性均衡,25.0
2024-07-18,58.1,中性均衡,25.0
2024-07-19,43.4,中性均衡,25.0
2024-07-22,57.8,中性均衡,25.0
2024-07-23,46.0,中性均衡,25.0
2024-07-24,38.4,中性均衡,25.0
2024-07-25,26.3,恐慌防御,50.0
2024-07-26,36.2,中性均衡,25.0
2024-07-29,32.0,恐慌防御,50.0
2024-07-30,37.1,中性均衡,25.0
2024-07-31,43.5,中性均衡,25.0
2024-08-01,41.5,中性均衡,25.0
2024-08-02,56.4,中性均衡,25.0
2024-08-05,49.9,中性均衡,25.0
2024-08-06,39.8,中性均衡,25.0
2024-08-07,36.7,中性均衡,25.0
2024-08-08,48.9,中性均衡,25.0
2024-08-09,51.5,中性均衡,25.0
2024-08-12,58.2,中性均衡,25.0
2024-08-13,40.9,中性均衡,25.0
2024-08-14,47.4,中性均衡,25.0
2024-08-15,58.4,中性均衡,25.0
2024-08-16,52.3,中性均衡,25.0
2024-08-19,53.5,中性均衡,25.0
2024-08-20,53.7,中性均衡,25.0
2024-08-21,53.3,中性均衡,25.0
2024-08-22,63.2,中性均衡,25.0
2024-08-23,63.8,中性均衡,25.0
2024-08-26,67.2,积极乐观,10.0
2024-08-27,56.5,中性均衡,25.0
2024-08-28,52.7,中性均衡,25.0
2024-08-29,47.8,中性均衡,25.0
2024-08-30,59.8,中性均衡,25.0
2024-09-02,55.7,中性均衡,25.0
2024-09-03,60.9,中性均衡,25.0
2024-09-04,59.3,中性均衡,25.0
2024-09-05,59.9,中性均衡,25.0
2024-09-06,55.6,中性均衡,25.0
2024-09-09,69.2,积极乐观,10.0
2024-09-10,71.4,积极乐观,10.0
2024-09-11,69.0,积极乐观,10.0
2024-09-12,68.8,积极乐观,10.0
2024-09-13,58.5,中性均衡,25.0
2024-09-16,60.8,中性均衡,25.0
2024-09-17,59.7,中性均衡,25.0
2024-09-18,72.8,积极乐观,10.0
2024-09-19,52.4,中性均衡,25.0
2024-09-20,55.7,中性均衡,25.0
2024-09-23,49.5,中性均衡,25.0
2024-09-24,42.9,中性均衡,25.0
2024-09-25,63.0,中性均衡,25.0
2024-09-26,72.8,积极乐观,10.0
2024-09-27,76.9,积极乐观,10.0
2024-09-30,71.1,积极乐观,10.0
2024-10-01,80.7,积极乐观,10.0
2024-10-02,85.9,积极乐观,10.0
2024-10-03,77.2,积极乐观,10.0
2024-10-04,73.8,积极乐观,10.0
2024-10-07,81.8,积极乐观,10.0
2024-10-08,80.1,积极乐观,10.0
2024-10-09,89.9,积极乐观,10.0
2024-10-10,92.0,积极乐观,10.0
2024-10-11,92.0,积极乐观,10.0
2024-10-14,92.0,积极乐观,10.0
2024-10-15,92.0,积极乐观,10.0
2024-10-16,92.0,积极乐观,10.0
2024-10-17,92.0,积极乐观,10.0
2024-10-18,92.0,积极乐观,10.0
2024-10-21,92.0,积极乐观,10.0
2024-10-22,92.0,积极乐观,10.0
2024-10-23,92.0,积极乐观,10.0
2024-10-24,92.0,积极乐观,10.0
2024-10-25,92.0,积极乐观,10.0
2024-10-28,92.0,积极乐观,10.0
2024-10-29,92.0,积极乐观,10.0
2024-10-30,92.0,积极乐观,10.0
2024-10-31,92.0,积极乐观,10.0
2024-11-01,92.0,积极乐观,10.0
2024-11-04,92.0,积极乐观,10.0
2024-11-05,92.0,积极乐观,10.0
2024-11-06,92.0,积极乐观,10.0
2024-11-07,92.0,积极乐观,10.0
2024-11-08,74.4,积极乐观,10.0
2024-11-11,59.9,中性均衡,25.0
2024-11-12,76.0,积极乐观,10.0
2024-11-13,80.3,积极乐观,10.0
2024-11-14,75.7,积极乐观,10.0
2024-11-15,68.7,积极乐观,10.0
2024-11-18,76.1,积极乐观,10.0
2024-11-19,54.3,中性均衡,25.0
2024-11-20,51.7,中性均衡,25.0
2024-11-21,47.0,中性均衡,25.0
2024-11-22,45.9,中性均衡,25.0
2024-11-25,56.5,中性均衡,25.0
2024-11-26,59.9,中性均衡,25.0
2024-11-27,39.9,中性均衡,25.0
2024-11-28,46.0,中性均衡,25.0
2024-11-29,37.3,中性均衡,25.0
2024-12-02,47.7,中性均衡,25.0
2024-12-03,49.4,中性均衡,25.0
2024-12-04,37.3,中性均衡,25.0
2024-12-05,35.9,中性均衡,25.0
2024-12-06,52.6,中性均衡,25.0
2024-12-09,45.5,中性均衡,25.0
2024-12-10,47.9,中性均衡,25.0
2024-12-11,46.5,中性均衡,25.0
2024-12-12,45.7,中性均衡,25.0
2024-12-13,56.7,中性均衡,25.0
2024-12-16,58.3,中性均衡,25.0
2024-12-17,53.5,中性均衡,25.0
2024-12-18,54.5,中性均衡,25.0
2024-12-19,61.4,中性均衡,25.0
2024-12-20,57.4,中性均衡,25.0
2024-12-23,50.6,中性均衡,25.0
2024-12-24,61.5,中性均衡,25.0
2024-12-25,59.7,中性均衡,25.0
2024-12-26,60.0,中性均衡,25.0
2024-12-27,57.2,中性均衡,25.0
2024-12-30,67.5,积极乐观,10.0
2024-12-31,58.7,中性均衡,25.0
2025-01-01,73.2,积极乐观,10.0
2025-01-02,53.8,中性均衡,25.0
2025-01-03,44.0,中性均衡,25.0
2025-01-06,39.4,中性均衡,25.0
2025-01-07,44.3,中性均衡,25.0
2025-01-08,52.8,中性均衡,25.0
2025-01-09,48.5,中性均衡,25.0
2025-01-10,36.7,中性均衡,25.0
2025-01-13,40.7,中性均衡,25.0
2025-01-14,40.6,中性均衡,25.0
2025-01-15,43.6,中性均衡,25.0
2025-01-16,45.5,中性均衡,25.0
2025-01-17,36.1,中性均衡,25.0
2025-01-20,31.3,恐慌防御,50.0
2025-01-21,39.8,中性均衡,25.0
2025-01-22,34.0,恐慌防御,50.0
2025-01-23,40.7,中性均衡,25.0
2025-01-24,42.4,中性均衡,25.0
2025-01-27,40.7,中性均衡,25.0
2025-01-28,30.3,恐慌防御,50.0
2025-01-29,35.5,中性均衡,25.0
2025-01-30,47.4,中性均衡,25.0
2025-01-31,52.2,中性均衡,25.0
2025-02-03,61.2,中性均衡,25.0
2025-02-04,50.8,中性均衡,25.0
2025-02-05,55.5,中性均衡,25.0
2025-02-06,58.8,中性均衡,25.0
2025-02-07,66.2,积极乐观,10.0
2025-02-10,47.9,中性均衡,25.0
2025-02-11,52.5,中性均衡,25.0
2025-02-12,55.3,中性均衡,25.0
2025-02-13,51.4,中性均衡,25.0
2025-02-14,55.3,中性均衡,25.0
2025-02-17,50.4,中性均衡,25.0
2025-02-18,51.6,中性均衡,25.0
2025-02-19,60.5,中性均衡,25.0
2025-02-20,53.5,中性均衡,25.0
2025-02-21,54.0,中性均衡,25.0
2025-02-24,60.5,中性均衡,25.0
2025-02-25,63.6,中性均衡,25.0
2025-02-26,61.3,中性均衡,25.0
2025-02-27,63.7,中性均衡,25.0
2025-02-28,61.5,中性均衡,25.0
2025-03-03,56.9,中性均衡,25.0
2025-03-04,60.9,中性均衡,25.0
2025-03-05,73.6,积极乐观,10.0
2025-03-06,65.0,中性均衡,25.0
2025-03-07,69.3,积极乐观,10.0
2025-03-10,61.8,中性均衡,25.0
2025-03-11,56.1,中性均衡,25.0
2025-03-12,66.6,积极乐观,10.0
2025-03-13,72.7,积极乐观,10.0
2025-03-14,76.8,积极乐观,10.0
2025-03-17,73.7,积极乐观,10.0
2025-03-18,69.1,积极乐观,10.0
2025-03-19,78.3,积极乐观,10.0
2025-03-20,76.2,积极乐观,10.0
2025-03-21,66.2,积极乐观,10.0
2025-03-24,74.4,积极乐观,10.0
2025-03-25,67.1,积极乐观,10.0
2025-03-26,77.9,积极乐观,10.0
2025-03-27,72.4,积极乐观,10.0
2025-03-28,74.3,积极乐观,10.0
2025-03-31,75.6,积极乐观,10.0
2025-04-01,72.1,积极乐观,10.0
2025-04-02,76.2,积极乐观,10.0
2025-04-03,74.4,积极乐观,10.0
2025-04-04,74.3,积极乐观,10.0
2025-04-07,87.6,积极乐观,10.0
2025-04-08,77.0,积极乐观,10.0
2025-04-09,74.1,积极乐观,10.0
2025-04-10,74.7,积极乐观,10.0
2025-04-11,63.6,中性均衡,25.0
2025-04-14,76.1,积极乐观,10.0
2025-04-15,66.6,积极乐观,10.0
2025-04-16,51.8,中性均衡,25.0
2025-04-17,57.5,中性均衡,25.0
2025-04-18,59.2,中性均衡,25.0
2025-04-21,48.1,中性均衡,25.0
2025-04-22,58.3,中性均衡,25.0
2025-04-23,44.2,中性均衡,25.0
2025-04-24,44.9,中性均衡,25.0
2025-04-25,49.1,中性均衡,25.0
2025-04-28,49.7,中性均衡,25.0
2025-04-29,55.2,中性均衡,25.0
2025-04-30,41.2,中性均衡,25.0
2025-05-01,40.8,中性均衡,25.0
2025-05-02,38.3,中性均衡,25.0
2025-05-05,41.1,中性均衡,25.0
2025-05-06,30.8,恐慌防御,50.0
2025-05-07,39.7,中性均衡,25.0
2025-05-08,45.2,中性均衡,25.0
2025-05-09,35.1,中性均衡,25.0
2025-05-12,50.6,中性均衡,25.0
2025-05-13,39.6,中性均衡,25.0
2025-05-14,39.4,中性均衡,25.0
2025-05-15,41.7,中性均衡,25.0
2025-05-16,47.1,中性均衡,25.0
2025-05-19,37.3,中性均衡,25.0
2025-05-20,39.5,中性均衡,25.0
2025-05-21,50.2,中性均衡,25.0
2025-05-22,59.8,中性均衡,25.0
2025-05-23,47.9,中性均衡,25.0
2025-05-26,50.2,中性均衡,25.0
2025-05-27,65.5,积极乐观,10.0
2025-05-28,47.1,中性均衡,25.0
2025-05-29,61.2,中性均衡,25.0
2025-05-30,64.2,中性均衡,25.0
2025-06-02,60.7,中性均衡,25.0
2025-06-03,65.2,积极乐观,10.0
2025-06-04,53.0,中性均衡,25.0
2025-06-05,69.6,积极乐观,10.0
2025-06-06,65.8,积极乐观,10.0
2025-06-09,74.9,积极乐观,10.0
2025-06-10,63.7,中性均衡,25.0
2025-06-11,78.3,积极乐观,10.0
2025-06-12,78.5,积极乐观,10.0
2025-06-13,89.0,积极乐观,10.0
2025-06-16,76.8,积极乐观,10.0
2025-06-17,84.8,积极乐观,10.0
2025-06-18,75.6,积极乐观,10.0
2025-06-19,64.4,中性均衡,25.0
2025-06-20,63.6,中性均衡,25.0
2025-06-23,53.2,中性均衡,25.0
2025-06-24,47.5,中性均衡,25.0
2025-06-25,49.1,中性均衡,25.0
2025-06-26,59.8,中性均衡,25.0
2025-06-27,68.2,积极乐观,10.0
2025-06-30,60.9,中性均衡,25.0
2025-07-01,69.9,积极乐观,10.0
2025-07-02,61.3,中性均衡,25.0
2025-07-03,70.1,积极乐观,10.0
2025-07-04,67.4,积极乐观,10.0
2025-07-07,64.9,中性均衡,25.0
2025-07-08,59.2,中性均衡,25.0
2025-07-09,54.9,中性均衡,25.0
2025-07-10,56.5,中性均衡,25.0
2025-07-11,53.7,中性均衡,25.0
2025-07-14,49.2,中性均衡,25.0
2025-07-15,60.5,中性均衡,25.0
2025-07-16,45.9,中性均衡,25.0
2025-07-17,57.1,中性均衡,25.0
2025-07-18,64.3,中性均衡,25.0
2025-07-21,55.6,中性均衡,25.0
2025-07-22,63.4,中性均衡,25.0
2025-07-23,56.0,中性均衡,25.0
2025-07-24,51.8,中性均衡,25.0
2025-07-25,47.3,中性均衡,25.0
2025-07-28,49.8,中性均衡,25.0
2025-07-29,49.8,中性均衡,25.0
2025-07-30,58.3,中性均衡,25.0
2025-07-31,51.4,中性均衡,25.0
2025-08-01,56.5,中性均衡,25.0
2025-08-04,43.1,中性均衡,25.0
2025-08-05,45.2,中性均衡,25.0
2025-08-06,60.4,中性均衡,25.0
2025-08-07,62.4,中性均衡,25.0
2025-08-08,57.6,中性均衡,25.0
2025-08-11,56.5,中性均衡,25.0
2025-08-12,61.5,中性均衡,25.0
2025-08-13,72.2,积极乐观,10.0
2025-08-14,65.9,积极乐观,10.0
2025-08-15,66.7,积极乐观,10.0
2025-08-18,77.2,积极乐观,10.0
2025-08-19,77.6,积极乐观,10.0
2025-08-20,68.4,积极乐观,10.0
2025-08-21,81.9,积极乐观,10.0
2025-08-22,81.4,积极乐观,10.0
2025-08-25,77.3,积极乐观,10.0
2025-08-26,74.0,积极乐观,10.0
2025-08-27,69.9,积极乐观,10.0
2025-08-28,69.3,积极乐观,10.0
2025-08-29,69.8,积极乐观,10.0
2025-09-01,66.4,积极乐观,10.0
2025-09-02,65.3,积极乐观,10.0
2025-09-03,86.6,积极乐观,10.0
2025-09-04,75.0,积极乐观,10.0
2025-09-05,71.3,积极乐观,10.0
2025-09-08,61.5,中性均衡,25.0
2025-09-09,63.6,中性均衡,25.0
2025-09-10,53.3,中性均衡,25.0
2025-09-11,46.6,中性均衡,25.0
2025-09-12,45.4,中性均衡,25.0
2025-09-15,40.5,中性均衡,25.0
2025-09-16,41.3,中性均衡,25.0
2025-09-17,36.7,中性均衡,25.0
2025-09-18,30.5,恐慌防御,50.0
2025-09-19,37.3,中性均衡,25.0
2025-09-22,30.9,恐慌防御,50.0
2025-09-23,32.0,恐慌防御,50.0
2025-09-24,34.9,恐慌防御,50.0
2025-09-25,50.0,中性均衡,25.0
2025-09-26,44.8,中性均衡,25.0
2025-09-29,39.0,中性均衡,25.0
2025-09-30,34.1,恐慌防御,50.0
2025-10-01,35.7,中性均衡,25.0
2025-10-02,23.0,恐慌防御,50.0
2025-10-03,23.7,恐慌防御,50.0
2025-10-06,44.1,中性均衡,25.0
2025-10-07,40.6,中性均衡,25.0
2025-10-08,35.3,中性均衡,25.0
2025-10-09,38.9,中性均衡,25.0
2025-10-10,37.3,中性均衡,25.0
2025-10-13,38.5,中性均衡,25.0
2025-10-14,37.4,中性均衡,25.0
2025-10-15,36.4,中性均衡,25.0
2025-10-16,42.8,中性均衡,25.0
2025-10-17,48.3,中性均衡,25.0
2025-10-20,48.0,中性均衡,25.0
2025-10-21,42.7,中性均衡,25.0
2025-10-22,45.5,中性均衡,25.0
2025-10-23,36.5,中性均衡,25.0
2025-10-24,37.1,中性均衡,25.0
2025-10-27,46.6,中性均衡,25.0
2025-10-28,45.4,中性均衡,25.0
2025-10-29,47.8,中性均衡,25.0
2025-10-30,43.6,中性均衡,25.0
2025-10-31,59.0,中性均衡,25.0
2025-11-03,71.9,积极乐观,10.0
2025-11-04,67.3,积极乐观,10.0
2025-11-05,68.6,积极乐观,10.0
2025-11-06,56.1,中性均衡,25.0
2025-11-07,55.1,中性均衡,25.0
2025-11-10,52.1,中性均衡,25.0
2025-11-11,58.0,中性均衡,25.0
2025-11-12,46.4,中性均衡,25.0
2025-11-13,38.3,中性均衡,25.0
2025-11-14,49.7,中性均衡,25.0
2025-11-17,49.4,中性均衡,25.0
2025-11-18,50.7,中性均衡,25.0
2025-11-19,59.9,中性均衡,25.0
2025-11-20,58.1,中性均衡,25.0
2025-11-21,73.2,积极乐观,10.0
2025-11-24,63.5,中性均衡,25.0
2025-11-25,60.6,中性均衡,25.0
2025-11-26,67.3,积极乐观,10.0
2025-11-27,65.2,积极乐观,10.0
2025-11-28,54.2,中性均衡,25.0
2025-12-01,40.4,中性均衡,25.0
2025-12-02,36.4,中性均衡,25.0
2025-12-03,52.3,中性均衡,25.0
2025-12-04,44.7,中性均衡,25.0
2025-12-05,53.4,中性均衡,25.0
2025-12-08,45.6,中性均衡,25.0
2025-12-09,54.5,中性均衡,25.0
2025-12-10,56.9,中性均衡,25.0
2025-12-11,51.8,中性均衡,25.0
2025-12-12,55.8,中性均衡,25.0
2025-12-15,47.8,中性均衡,25.0
2025-12-16,51.8,中性均衡,25.0
2025-12-17,59.9,中性均衡,25.0
2025-12-18,48.2,中性均衡,25.0
2025-12-19,43.6,中性均衡,25.0
2025-12-22,38.3,中性均衡,25.0
2025-12-23,35.9,中性均衡,25.0
2025-12-24,35.7,中性均衡,25.0
2025-12-25,27.1,恐慌防御,50.0
2025-12-26,42.6,中性均衡,25.0
2025-12-29,44.6,中性均衡,25.0
2025-12-30,36.4,中性均衡,25.0
2025-12-31,44.5,中性均衡,25.0
2026-01-01,31.0,恐慌防御,50.0
2026-01-02,48.6,中性均衡,25.0
2026-01-05,30.2,恐慌防御,50.0
2026-01-06,39.2,中性均衡,25.0
2026-01-07,36.6,中性均衡,25.0
2026-01-08,39.6,中性均衡,25.0
2026-01-09,40.0,中性均衡,25.0
2026-01-12,33.8,恐慌防御,50.0
2026-01-13,32.3,恐慌防御,50.0
2026-01-14,30.4,恐慌防御,50.0
2026-01-15,21.9,恐慌防御,50.0
2026-01-16,23.2,恐慌防御,50.0
2026-01-19,33.8,恐慌防御,50.0
2026-01-20,32.7,恐慌防御,50.0
2026-01-21,29.5,恐慌防御,50.0
2026-01-22,26.7,恐慌防御,50.0
2026-01-23,33.5,恐慌防御,50.0
2026-01-26,31.1,恐慌防御,50.0
2026-01-27,27.2,恐慌防御,50.0
2026-01-28,30.2,恐慌防御,50.0
2026-01-29,22.5,恐慌防御,50.0
2026-01-30,38.8,中性均衡,25.0
2026-02-02,22.8,恐慌防御,50.0
2026-02-03,22.6,恐慌防御,50.0
2026-02-04,34.5,恐慌防御,50.0
2026-02-05,46.8,中性均衡,25.0
2026-02-06,38.5,中性均衡,25.0
2026-02-09,36.9,中性均衡,25.0
2026-02-10,43.7,中性均衡,25.0
2026-02-11,38.1,中性均衡,25.0
2026-02-12,47.2,中性均衡,25.0
2026-02-13,38.3,中性均衡,25.0
2026-02-16,43.3,中性均衡,25.0
2026-02-17,51.4,中性均衡,25.0
2026-02-18,54.5,中性均衡,25.0
2026-02-19,47.7,中性均衡,25.0
2026-02-20,48.9,中性均衡,25.0
2026-02-23,44.9,中性均衡,25.0
2026-02-24,46.7,中性均衡,25.0
2026-02-25,46.2,中性均衡,25.0
2026-02-26,69.5,积极乐观,10.0
2026-02-27,52.5,中性均衡,25.0
2026-03-02,58.4,中性均衡,25.0
2026-03-03,58.9,中性均衡,25.0
2026-03-04,55.0,中性均衡,25.0
2026-03-05,56.5,中性均衡,25.0
2026-03-06,46.6,中性均衡,25.0
2026-03-09,53.1,中性均衡,25.0
2026-03-10,45.4,中性均衡,25.0
2026-03-11,61.9,中性均衡,25.0
2026-03-12,51.6,中性均衡,25.0
2026-03-13,47.0,中性均衡,25.0
2026-03-16,57.2,中性均衡,25.0
2026-03-17,43.5,中性均衡,25.0
2026-03-18,39.7,中性均衡,25.0
2026-03-19,51.5,中性均衡,25.0
2026-03-20,48.7,中性均衡,25.0
2026-03-23,49.6,中性均衡,25.0
2026-03-24,62.5,中性均衡,25.0
2026-03-25,54.1,中性均衡,25.0
2026-03-26,46.5,中性均衡,25.0
2026-03-27,55.9,中性均衡,25.0
2026-03-30,42.5,中性均衡,25.0
2026-03-31,48.4,中性均衡,25.0
2026-04-01,49.3,中性均衡,25.0
2026-04-02,55.6,中性均衡,25.0
2026-04-03,54.0,中性均衡,25.0
2026-04-06,50.8,中性均衡,25.0
2026-04-07,59.0,中性均衡,25.0
2026-04-08,58.8,中性均衡,25.0
2026-04-09,57.0,中性均衡,25.0
2026-04-10,56.6,中性均衡,25.0
2026-04-13,56.6,中性均衡,25.0
2026-04-14,46.1,中性均衡,25.0
2026-04-15,57.7,中性均衡,25.0
2026-04-16,51.8,中性均衡,25.0
2026-04-17,57.7,中性均衡,25.0
2026-04-20,57.4,中性均衡,25.0
2026-04-21,59.9,中性均衡,25.0
2026-04-22,59.8,中性均衡,25.0
2026-04-23,49.0,中性均衡,25.0
2026-04-24,56.1,中性均衡,25.0
2026-04-27,54.8,中性均衡,25.0
2026-04-28,62.4,中性均衡,25.0
2026-04-29,64.0,中性均衡,25.0
2026-04-30,56.4,中性均衡,25.0
2026-05-01,49.6,中性均衡,25.0
2026-05-04,58.4,中性均衡,25.0
2026-05-05,55.3,中性均衡,25.0
2026-05-06,64.9,中性均衡,25.0
2026-05-07,52.2,中性均衡,25.0
2026-05-08,55.8,中性均衡,25.0
2026-05-11,53.8,中性均衡,25.0
2026-05-12,55.4,中性均衡,25.0
2026-05-13,69.5,积极乐观,10.0
2026-05-14,62.0,中性均衡,25.0
2026-05-15,67.7,积极乐观,10.0
2026-05-18,64.4,中性均衡,25.0
2026-05-19,57.7,中性均衡,25.0
2026-05-20,61.8,中性均衡,25.0
2026-05-21,71.7,积极乐观,10.0
2026-05-22,63.3,中性均衡,25.0
2026-05-25,73.9,积极乐观,10.0
2026-05-26,74.4,积极乐观,10.0
2026-05-27,62.1,中性均衡,25.0
2026-05-28,65.0,积极乐观,10.0
2026-05-29,68.8,积极乐观,10.0
2026-06-01,78.7,积极乐观,10.0
2026-06-02,62.6,中性均衡,25.0
2026-06-03,66.6,积极乐观,10.0
2026-06-04,73.7,积极乐观,10.0
2026-06-05,66.2,积极乐观,10.0
2026-06-08,68.3,积极乐观,10.0
2026-06-09,65.9,积极乐观,10.0
2026-06-10,60.2,中性均衡,25.0
2026-06-11,58.6,中性均衡,25.0
2026-06-12,48.2,中性均衡,25.0
2026-06-15,53.1,中性均衡,25.0
2026-06-16,40.4,中性均衡,25.0
2026-06-17,53.3,中性均衡,25.0
2026-06-18,43.8,中性均衡,25.0
2026-06-19,50.2,中性均衡,25.0
2026-06-22,36.7,中性均衡,25.0
2026-06-23,37.4,中性均衡,25.0
2026-06-24,30.2,恐慌防御,50.0
2026-06-25,31.4,恐慌防御,50.0
2026-06-26,29.3,恐慌防御,50.0
2026-06-29,33.7,恐慌防御,50.0
2026-06-30,39.9,中性均衡,25.0
2026-07-01,44.9,中性均衡,25.0
2026-07-02,43.2,中性均衡,25.0
2026-07-03,31.6,恐慌防御,50.0
2026-07-06,38.5,中性均衡,25.0
2026-07-07,48.6,中性均衡,25.0
2026-07-08,43.4,中性均衡,25.0
2026-07-09,34.3,恐慌防御,50.0
2026-07-10,48.5,中性均衡,25.0
2026-07-13,49.6,中性均衡,25.0
2026-07-14,62.9,中性均衡,25.0
