code,name,sector,beta,alpha
300142,沃森生物,growth,1.25,0.12
000661,长春高新,growth,1.15,0.18
000963,华东医药,growth,0.95,0.2
300347,泰格医药,growth,1.2,0.16
300759,康龙化成,growth,1.25,0.18
603127,昭衍新药,growth,1.3,0.15
002821,凯莱英,growth,1.25,0.19
300363,博腾股份,growth,1.3,0.16
002030,达安基因,growth,1.05,0.1
300676,华大基因,growth,1.1,0.12
300244,迪安诊断,growth,1.08,0.11
603882,金域医学,growth,1.12,0.14
600332,白云山,defensive,0.7,0.14
000423,东阿阿胶,defensive,0.72,0.19
600998,九州通,defensive,0.68,0.13
603899,晨光股份,defensive,0.8,0.14
603605,珀莱雅,growth,1.15,0.3
300957,贝泰妮,growth,1.2,0.16
600380,健康元,defensive,0.75,0.14
002294,信立泰,growth,1.05,0.18
002422,科伦药业,growth,1.0,0.22
600521,华海药业,growth,1.08,0.17
002007,华兰生物,growth,1.02,0.15
601766,中国中车,bluechip,0.8,0.15
601668,中国建筑,bluechip,0.75,0.16
601186,中国铁建,bluechip,0.78,0.14
601800,中国交建,bluechip,0.85,0.16
601669,中国电建,bluechip,0.9,0.18
601868,中国能建,bluechip,0.88,0.15
600150,中国船舶,growth,1.3,0.32
600685,中船防务,growth,1.35,0.28
601989,中国重工,growth,1.25,0.22
600893,航发动力,growth,1.15,0.2
000768,中航西飞,growth,1.18,0.22
600760,中航沈飞,growth,1.2,0.25
600031,三一重工,bluechip,1.05,0.2
000157,中联重科,bluechip,1.0,0.18
000425,徐工机械,bluechip,1.02,0.19
601100,恒立液压,growth,1.2,0.26
000338,潍柴动力,bluechip,1.0,0.22
600660,福耀玻璃,bluechip,0.9,0.24
600104,上汽集团,bluechip,0.85,0.12
000625,长安汽车,growth,1.25,0.26
601633,长城汽车,growth,1.2,0.22
601238,广汽集团,bluechip,0.95,0.11
002352,顺丰控股,growth,1.05,0.18
601919,中远海控,global,1.15,0.26
601816,京沪高铁,defensive,0.6,0.14
601006,大秦铁路,defensive,0.55,0.15
600009,上海机场,bluechip,0.85,0.14
600004,白云机场,bluechip,0.88,0.12
601111,中国国航,growth,1.1,0.14
600029,南方航空,growth,1.08,0.13
600115,中国东航,growth,1.06,0.12
601872,招商轮船,global,1.1,0.24
600428,中远海特,global,1.15,0.2
600798,宁波海运,global,1.05,0.12
600278,东方创业,global,0.95,0.1
000089,深圳机场,bluechip,0.8,0.11
600018,上港集团,defensive,0.68,0.13
601018,宁波港,defensive,0.65,0.12
601298,青岛港,defensive,0.62,0.14
600317,营口港,defensive,0.6,0.1
600026,中远海能,global,1.2,0.28
000528,柳工,bluechip,0.98,0.17
600761,安徽合力,bluechip,0.95,0.18
002097,山河智能,growth,1.15,0.14
000680,山推股份,bluechip,1.02,0.16
600835,上海机电,defensive,0.75,0.12
600109,国金证券,bluechip,1.2,0.19
600588,用友网络,tech,1.25,0.16
002236,大华股份,tech,1.18,0.15
300017,网宿科技,tech,1.22,0.17
