code,name,sector,beta,alpha,sub_industry,student_group
600098,广州发展,defensive,0.75,0.11,绿电与清洁公用,同学B（新能源与周期资源组）
000690,宝新能源,defensive,0.8,0.13,绿电与清洁公用,同学B（新能源与周期资源组）
600167,联美量子,defensive,0.7,0.09,绿电与清洁公用,同学B（新能源与周期资源组）
000862,银星能源,growth,1.05,0.1,绿电与清洁公用,同学B（新能源与周期资源组）
600642,申能股份,defensive,0.72,0.14,绿电与清洁公用,同学B（新能源与周期资源组）
600236,桂冠电力,defensive,0.68,0.13,绿电与清洁公用,同学B（新能源与周期资源组）
000966,杉杉股份,growth,1.2,0.15,绿电与清洁公用,同学B（新能源与周期资源组）
300769,德方纳米,growth,1.35,0.18,绿电与清洁公用,同学B（新能源与周期资源组）
300037,新宙邦,growth,1.25,0.2,绿电与清洁公用,同学B（新能源与周期资源组）
002407,多氟多,growth,1.25,0.16,绿电与清洁公用,同学B（新能源与周期资源组）
300073,当升科技,growth,1.3,0.19,绿电与清洁公用,同学B（新能源与周期资源组）
300568,星源材质,growth,1.28,0.17,绿电与清洁公用,同学B（新能源与周期资源组）
688772,珠海冠宇,growth,1.3,0.18,绿电与清洁公用,同学B（新能源与周期资源组）
688005,容百科技,growth,1.35,0.19,绿电与清洁公用,同学B（新能源与周期资源组）
002709,天赐材料,growth,1.32,0.18,绿电与清洁公用,同学B（新能源与周期资源组）
002074,国轩高科,growth,1.28,0.16,绿电与清洁公用,同学B（新能源与周期资源组）
002080,中材科技,growth,1.15,0.14,绿电与清洁公用,同学B（新能源与周期资源组）
601865,福莱特,growth,1.3,0.22,绿电与清洁公用,同学B（新能源与周期资源组）
600875,东方电气,growth,1.1,0.18,绿电与清洁公用,同学B（新能源与周期资源组）
600547,山东黄金,global,0.9,0.26,黄金有色与周期资源,同学B（新能源与周期资源组）
600489,中金黄金,global,0.88,0.24,黄金有色与周期资源,同学B（新能源与周期资源组）
601899,紫金矿业,global,1.1,0.32,黄金有色与周期资源,同学B（新能源与周期资源组）
002155,湖南黄金,global,0.95,0.28,黄金有色与周期资源,同学B（新能源与周期资源组）
000975,银泰黄金,global,0.92,0.25,黄金有色与周期资源,同学B（新能源与周期资源组）
600988,赤峰黄金,global,1.05,0.3,黄金有色与周期资源,同学B（新能源与周期资源组）
601069,西部黄金,global,1.0,0.22,黄金有色与周期资源,同学B（新能源与周期资源组）
603993,洛阳钼业,global,1.15,0.28,黄金有色与周期资源,同学B（新能源与周期资源组）
600362,江西铜业,global,1.05,0.2,黄金有色与周期资源,同学B（新能源与周期资源组）
000630,铜陵有色,global,1.08,0.18,黄金有色与周期资源,同学B（新能源与周期资源组）
000878,云南铜业,global,1.1,0.19,黄金有色与周期资源,同学B（新能源与周期资源组）
601600,中国铝业,global,1.12,0.22,黄金有色与周期资源,同学B（新能源与周期资源组）
002532,天山铝业,global,1.05,0.18,黄金有色与周期资源,同学B（新能源与周期资源组）
600219,南山铝业,global,0.95,0.14,黄金有色与周期资源,同学B（新能源与周期资源组）
600549,厦门钨业,global,1.1,0.2,黄金有色与周期资源,同学B（新能源与周期资源组）
600392,盛和资源,global,1.25,0.22,黄金有色与周期资源,同学B（新能源与周期资源组）
600111,北方稀土,global,1.3,0.25,黄金有色与周期资源,同学B（新能源与周期资源组）
000831,中国稀土,global,1.35,0.26,黄金有色与周期资源,同学B（新能源与周期资源组）
002240,盛新锂能,global,1.3,0.16,黄金有色与周期资源,同学B（新能源与周期资源组）
002756,永兴材料,global,1.25,0.2,黄金有色与周期资源,同学B（新能源与周期资源组）
002738,中矿资源,global,1.28,0.24,黄金有色与周期资源,同学B（新能源与周期资源组）
002497,雅化集团,global,1.25,0.18,黄金有色与周期资源,同学B（新能源与周期资源组）
000960,锡业股份,global,1.15,0.21,黄金有色与周期资源,同学B（新能源与周期资源组）
600961,株冶集团,global,1.08,0.16,黄金有色与周期资源,同学B（新能源与周期资源组）
600497,驰宏锌锗,global,1.05,0.18,黄金有色与周期资源,同学B（新能源与周期资源组）
000060,中金岭南,global,1.08,0.15,黄金有色与周期资源,同学B（新能源与周期资源组）
600338,西藏珠峰,global,1.2,0.17,黄金有色与周期资源,同学B（新能源与周期资源组）
601168,西部矿业,global,1.1,0.23,黄金有色与周期资源,同学B（新能源与周期资源组）
000688,国城矿业,global,1.15,0.16,黄金有色与周期资源,同学B（新能源与周期资源组）
002114,罗平锌电,global,1.12,0.12,黄金有色与周期资源,同学B（新能源与周期资源组）
600019,宝钢股份,bluechip,0.85,0.12,黄金有色与周期资源,同学B（新能源与周期资源组）
000932,华菱钢铁,bluechip,0.95,0.15,黄金有色与周期资源,同学B（新能源与周期资源组）
600585,海螺水泥,bluechip,0.8,0.1,黄金有色与周期资源,同学B（新能源与周期资源组）
600309,万华化学,bluechip,1.05,0.22,黄金有色与周期资源,同学B（新能源与周期资源组）
600346,恒力石化,bluechip,1.0,0.16,黄金有色与周期资源,同学B（新能源与周期资源组）
002493,荣盛石化,bluechip,1.05,0.15,黄金有色与周期资源,同学B（新能源与周期资源组）
000301,东方盛虹,bluechip,1.1,0.14,黄金有色与周期资源,同学B（新能源与周期资源组）
002648,卫星化学,growth,1.15,0.24,黄金有色与周期资源,同学B（新能源与周期资源组）
000792,盐湖股份,growth,1.12,0.2,黄金有色与周期资源,同学B（新能源与周期资源组）
000408,藏格矿业,growth,1.18,0.22,黄金有色与周期资源,同学B（新能源与周期资源组）
600426,华鲁恒升,bluechip,0.95,0.18,黄金有色与周期资源,同学B（新能源与周期资源组）
002064,华峰化学,growth,1.05,0.15,黄金有色与周期资源,同学B（新能源与周期资源组）
600141,兴发集团,growth,1.15,0.2,黄金有色与周期资源,同学B（新能源与周期资源组）
600096,云天化,growth,1.1,0.22,黄金有色与周期资源,同学B（新能源与周期资源组）
000553,安道麦A,bluechip,0.85,0.08,黄金有色与周期资源,同学B（新能源与周期资源组）
601225,陕西煤业,bluechip,0.7,0.2,黄金有色与周期资源,同学B（新能源与周期资源组）
601088,中国神华,defensive,0.6,0.18,黄金有色与周期资源,同学B（新能源与周期资源组）
600188,兖矿能源,bluechip,0.85,0.19,黄金有色与周期资源,同学B（新能源与周期资源组）
600971,恒源煤电,defensive,0.72,0.16,黄金有色与周期资源,同学B（新能源与周期资源组）
601699,潞安环能,bluechip,0.82,0.18,黄金有色与周期资源,同学B（新能源与周期资源组）
600036,招商银行,bluechip,0.85,0.18,大金融与央国企,同学C（大金融与消费医药组）
002142,宁波银行,bluechip,0.95,0.16,大金融与央国企,同学C（大金融与消费医药组）
000001,平安银行,bluechip,0.9,0.12,大金融与央国企,同学C（大金融与消费医药组）
601398,工商银行,defensive,0.55,0.14,大金融与央国企,同学C（大金融与消费医药组）
601939,建设银行,defensive,0.58,0.13,大金融与央国企,同学C（大金融与消费医药组）
601288,农业银行,defensive,0.52,0.15,大金融与央国企,同学C（大金融与消费医药组）
601988,中国银行,defensive,0.54,0.13,大金融与央国企,同学C（大金融与消费医药组）
601166,兴业银行,bluechip,0.8,0.12,大金融与央国企,同学C（大金融与消费医药组）
600000,浦发银行,bluechip,0.75,0.09,大金融与央国企,同学C（大金融与消费医药组）
600016,民生银行,bluechip,0.7,0.08,大金融与央国企,同学C（大金融与消费医药组）
601998,中信银行,defensive,0.65,0.14,大金融与央国企,同学C（大金融与消费医药组）
601818,光大银行,bluechip,0.68,0.1,大金融与央国企,同学C（大金融与消费医药组）
600015,华夏银行,bluechip,0.66,0.09,大金融与央国企,同学C（大金融与消费医药组）
601916,浙商银行,bluechip,0.72,0.1,大金融与央国企,同学C（大金融与消费医药组）
601009,南京银行,bluechip,0.82,0.15,大金融与央国企,同学C（大金融与消费医药组）
601169,北京银行,defensive,0.62,0.11,大金融与央国企,同学C（大金融与消费医药组）
600919,江苏银行,bluechip,0.85,0.18,大金融与央国企,同学C（大金融与消费医药组）
600926,杭州银行,bluechip,0.88,0.17,大金融与央国企,同学C（大金融与消费医药组）
601229,上海银行,defensive,0.65,0.12,大金融与央国企,同学C（大金融与消费医药组）
601838,成都银行,bluechip,0.85,0.19,大金融与央国企,同学C（大金融与消费医药组）
600030,中信证券,bluechip,1.15,0.22,大金融与央国企,同学C（大金融与消费医药组）
601688,华泰证券,bluechip,1.2,0.2,大金融与央国企,同学C（大金融与消费医药组）
601211,国泰君安,bluechip,1.1,0.18,大金融与央国企,同学C（大金融与消费医药组）
600837,海通证券,bluechip,1.12,0.14,大金融与央国企,同学C（大金融与消费医药组）
000776,广发证券,bluechip,1.18,0.21,大金融与央国企,同学C（大金融与消费医药组）
600999,招商证券,bluechip,1.12,0.19,大金融与央国企,同学C（大金融与消费医药组）
000166,申万宏源,bluechip,1.05,0.15,大金融与央国企,同学C（大金融与消费医药组）
600958,东方证券,bluechip,1.25,0.22,大金融与央国企,同学C（大金融与消费医药组）
601881,中国银河,bluechip,1.28,0.24,大金融与央国企,同学C（大金融与消费医药组）
601995,中金公司,bluechip,1.3,0.25,大金融与央国企,同学C（大金融与消费医药组）
601788,光大证券,bluechip,1.25,0.2,大金融与央国企,同学C（大金融与消费医药组）
601377,兴业证券,bluechip,1.2,0.18,大金融与央国企,同学C（大金融与消费医药组）
601066,中信建投,bluechip,1.26,0.23,大金融与央国企,同学C（大金融与消费医药组）
601456,国联证券,growth,1.35,0.26,大金融与央国企,同学C（大金融与消费医药组）
601108,财通证券,bluechip,1.15,0.16,大金融与央国企,同学C（大金融与消费医药组）
600918,中泰证券,bluechip,1.18,0.17,大金融与央国企,同学C（大金融与消费医药组）
002736,国信证券,bluechip,1.1,0.18,大金融与央国企,同学C（大金融与消费医药组）
002926,华西证券,bluechip,1.15,0.15,大金融与央国企,同学C（大金融与消费医药组）
000783,长江证券,bluechip,1.12,0.16,大金融与央国企,同学C（大金融与消费医药组）
601318,中国平安,bluechip,0.95,0.18,大金融与央国企,同学C（大金融与消费医药组）
601628,中国人寿,bluechip,0.9,0.16,大金融与央国企,同学C（大金融与消费医药组）
601601,中国太保,bluechip,0.88,0.17,大金融与央国企,同学C（大金融与消费医药组）
601336,新华保险,bluechip,1.05,0.2,大金融与央国企,同学C（大金融与消费医药组）
601319,中国人保,defensive,0.75,0.14,大金融与央国企,同学C（大金融与消费医药组）
600649,城投控股,bluechip,0.85,0.08,大金融与央国企,同学C（大金融与消费医药组）
600048,保利发展,bluechip,1.1,0.12,大金融与央国企,同学C（大金融与消费医药组）
000002,万科A,bluechip,1.15,0.09,大金融与央国企,同学C（大金融与消费医药组）
001979,招商蛇口,bluechip,1.08,0.14,大金融与央国企,同学C（大金融与消费医药组）
600383,金地集团,bluechip,1.2,0.08,大金融与央国企,同学C（大金融与消费医药组）
600606,绿地控股,bluechip,1.1,0.06,大金融与央国企,同学C（大金融与消费医药组）
600519,贵州茅台,bluechip,0.85,0.22,核心消费与医药生物,同学C（大金融与消费医药组）
000858,五粮液,bluechip,0.95,0.2,核心消费与医药生物,同学C（大金融与消费医药组）
000568,泸州老窖,growth,1.05,0.24,核心消费与医药生物,同学C（大金融与消费医药组）
600809,山西汾酒,growth,1.1,0.26,核心消费与医药生物,同学C（大金融与消费医药组）
002304,洋河股份,bluechip,0.85,0.14,核心消费与医药生物,同学C（大金融与消费医药组）
000596,古井贡酒,growth,1.0,0.22,核心消费与医药生物,同学C（大金融与消费医药组）
603369,今世缘,growth,0.95,0.2,核心消费与医药生物,同学C（大金融与消费医药组）
603198,迎驾贡酒,growth,0.98,0.19,核心消费与医药生物,同学C（大金融与消费医药组）
600702,舍得酒业,growth,1.2,0.18,核心消费与医药生物,同学C（大金融与消费医药组）
000799,酒鬼酒,growth,1.25,0.16,核心消费与医药生物,同学C（大金融与消费医药组）
600887,伊利股份,defensive,0.7,0.15,核心消费与医药生物,同学C（大金融与消费医药组）
603288,海天味业,defensive,0.75,0.12,核心消费与医药生物,同学C（大金融与消费医药组）
000895,双汇发展,defensive,0.6,0.14,核心消费与医药生物,同学C（大金融与消费医药组）
600600,青岛啤酒,defensive,0.8,0.16,核心消费与医药生物,同学C（大金融与消费医药组）
600132,重庆啤酒,growth,0.95,0.15,核心消费与医药生物,同学C（大金融与消费医药组）
605499,东鹏饮料,growth,1.1,0.32,核心消费与医药生物,同学C（大金融与消费医药组）
603517,绝味食品,growth,0.9,0.1,核心消费与医药生物,同学C（大金融与消费医药组）
002557,洽洽食品,defensive,0.72,0.12,核心消费与医药生物,同学C（大金融与消费医药组）
600276,恒瑞医药,bluechip,0.9,0.25,核心消费与医药生物,同学C（大金融与消费医药组）
603259,药明康德,growth,1.25,0.24,核心消费与医药生物,同学C（大金融与消费医药组）
300760,迈瑞医疗,bluechip,0.85,0.22,核心消费与医药生物,同学C（大金融与消费医药组）
300015,爱尔眼科,growth,1.1,0.18,核心消费与医药生物,同学C（大金融与消费医药组）
600436,片仔癀,bluechip,0.85,0.2,核心消费与医药生物,同学C（大金融与消费医药组）
000538,云南白药,defensive,0.65,0.16,核心消费与医药生物,同学C（大金融与消费医药组）
600085,同仁堂,defensive,0.75,0.18,核心消费与医药生物,同学C（大金融与消费医药组）
600196,复星医药,growth,1.05,0.15,核心消费与医药生物,同学C（大金融与消费医药组）
300122,智飞生物,growth,1.2,0.14,核心消费与医药生物,同学C（大金融与消费医药组）
300142,沃森生物,growth,1.25,0.12,核心消费与医药生物,同学C（大金融与消费医药组）
000661,长春高新,growth,1.15,0.18,核心消费与医药生物,同学C（大金融与消费医药组）
000963,华东医药,growth,0.95,0.2,核心消费与医药生物,同学C（大金融与消费医药组）
300347,泰格医药,growth,1.2,0.16,核心消费与医药生物,同学C（大金融与消费医药组）
300759,康龙化成,growth,1.25,0.18,核心消费与医药生物,同学C（大金融与消费医药组）
603127,昭衍新药,growth,1.3,0.15,核心消费与医药生物,同学C（大金融与消费医药组）
002821,凯莱英,growth,1.25,0.19,核心消费与医药生物,同学C（大金融与消费医药组）
300363,博腾股份,growth,1.3,0.16,核心消费与医药生物,同学C（大金融与消费医药组）
002030,达安基因,growth,1.05,0.1,核心消费与医药生物,同学C（大金融与消费医药组）
300676,华大基因,growth,1.1,0.12,核心消费与医药生物,同学C（大金融与消费医药组）
300244,迪安诊断,growth,1.08,0.11,核心消费与医药生物,同学C（大金融与消费医药组）
603882,金域医学,growth,1.12,0.14,核心消费与医药生物,同学C（大金融与消费医药组）
600332,白云山,defensive,0.7,0.14,核心消费与医药生物,同学C（大金融与消费医药组）
000423,东阿阿胶,defensive,0.72,0.19,核心消费与医药生物,同学C（大金融与消费医药组）
600998,九州通,defensive,0.68,0.13,核心消费与医药生物,同学C（大金融与消费医药组）
603899,晨光股份,defensive,0.8,0.14,核心消费与医药生物,同学C（大金融与消费医药组）
603605,珀莱雅,growth,1.15,0.3,核心消费与医药生物,同学C（大金融与消费医药组）
300957,贝泰妮,growth,1.2,0.16,核心消费与医药生物,同学C（大金融与消费医药组）
600380,健康元,defensive,0.75,0.14,核心消费与医药生物,同学C（大金融与消费医药组）
002294,信立泰,growth,1.05,0.18,核心消费与医药生物,同学C（大金融与消费医药组）
002422,科伦药业,growth,1.0,0.22,核心消费与医药生物,同学C（大金融与消费医药组）
600521,华海药业,growth,1.08,0.17,核心消费与医药生物,同学C（大金融与消费医药组）
002007,华兰生物,growth,1.02,0.15,核心消费与医药生物,同学C（大金融与消费医药组）
