date,dxi_spot_price,korea_customs_yoy,lockin_cost_001309,lockin_cost_301308,lockin_cost_688525,lockin_cost_300475,lockin_cost_688008
2025-10-31,126.96,39.78,85.0,68.0,92.0,28.0,55.0
2025-11-03,127.17,39.93,85.0,68.0,92.0,28.0,55.0
2025-11-04,127.09,40.08,85.0,68.0,92.0,28.0,55.0
2025-11-05,126.91,40.23,85.0,68.0,92.0,28.0,55.0
2025-11-06,126.65,40.39,85.0,68.0,92.0,28.0,55.0
2025-11-07,126.49,40.54,85.0,68.0,92.0,28.0,55.0
2025-11-10,126.27,40.69,85.0,68.0,92.0,28.0,55.0
2025-11-11,126.45,40.84,85.0,68.0,92.0,28.0,55.0
2025-11-12,126.49,40.99,85.0,68.0,92.0,28.0,55.0
2025-11-13,126.98,41.14,85.0,68.0,92.0,28.0,55.0
2025-11-14,127.02,41.29,85.0,68.0,92.0,28.0,55.0
2025-11-17,127.18,41.44,85.0,68.0,92.0,28.0,55.0
2025-11-18,126.98,41.59,85.0,68.0,92.0,28.0,55.0
2025-11-19,126.7,41.74,85.0,68.0,92.0,28.0,55.0
2025-11-20,125.7,41.89,85.0,68.0,92.0,28.0,55.0
2025-11-21,124.91,42.04,85.0,68.0,92.0,28.0,55.0
2025-11-24,123.96,42.2,85.0,68.0,92.0,28.0,55.0
2025-11-25,123.41,42.35,85.0,68.0,92.0,28.0,55.0
2025-11-26,122.98,42.5,85.0,68.0,92.0,28.0,55.0
2025-11-27,122.65,42.65,85.0,68.0,92.0,28.0,55.0
2025-11-28,122.83,42.8,85.0,68.0,92.0,28.0,55.0
2025-12-01,123.1,42.95,85.0,68.0,92.0,28.0,55.0
2025-12-02,123.38,43.1,85.0,68.0,92.0,28.0,55.0
2025-12-03,123.63,43.25,85.0,68.0,92.0,28.0,55.0
2025-12-04,123.84,43.4,85.0,68.0,92.0,28.0,55.0
2025-12-05,123.81,43.55,85.0,68.0,92.0,28.0,55.0
2025-12-08,123.99,43.7,85.0,68.0,92.0,28.0,55.0
2025-12-09,124.05,43.85,85.0,68.0,92.0,28.0,55.0
2025-12-10,124.08,44.01,85.0,68.0,92.0,28.0,55.0
2025-12-11,124.29,44.16,85.0,68.0,92.0,28.0,55.0
2025-12-12,124.58,44.31,85.0,68.0,92.0,28.0,55.0
2025-12-15,124.31,44.46,85.0,68.0,92.0,28.0,55.0
2025-12-16,124.03,44.61,85.0,68.0,92.0,28.0,55.0
2025-12-17,123.95,44.76,85.0,68.0,92.0,28.0,55.0
2025-12-18,123.86,44.91,85.0,68.0,92.0,28.0,55.0
2025-12-19,123.62,45.06,85.0,68.0,92.0,28.0,55.0
2025-12-22,123.56,45.21,85.0,68.0,92.0,28.0,55.0
2025-12-23,123.59,45.36,85.0,68.0,92.0,28.0,55.0
2025-12-24,123.62,45.51,85.0,68.0,92.0,28.0,55.0
2025-12-25,123.55,45.66,85.0,68.0,92.0,28.0,55.0
2025-12-26,123.67,45.82,85.0,68.0,92.0,28.0,55.0
2025-12-29,123.86,45.97,85.0,68.0,92.0,28.0,55.0
2025-12-30,124.2,46.12,85.0,68.0,92.0,28.0,55.0
2025-12-31,124.3,46.27,85.0,68.0,92.0,28.0,55.0
2026-01-05,124.75,46.42,85.0,68.0,92.0,28.0,55.0
2026-01-06,125.18,46.57,85.0,68.0,92.0,28.0,55.0
2026-01-07,125.7,46.72,85.0,68.0,92.0,28.0,55.0
2026-01-08,125.99,46.87,85.0,68.0,92.0,28.0,55.0
2026-01-09,126.37,47.02,85.0,68.0,92.0,28.0,55.0
2026-01-12,126.56,47.17,85.0,68.0,92.0,28.0,55.0
2026-01-13,126.87,47.32,85.0,68.0,92.0,28.0,55.0
2026-01-14,127.44,47.47,85.0,68.0,92.0,28.0,55.0
2026-01-15,128.46,47.63,85.0,68.0,92.0,28.0,55.0
2026-01-16,130.39,47.78,85.0,68.0,92.0,28.0,55.0
2026-01-19,131.91,47.93,85.0,68.0,92.0,28.0,55.0
2026-01-20,133.75,48.08,85.0,68.0,92.0,28.0,55.0
2026-01-21,135.23,48.23,85.0,68.0,92.0,28.0,55.0
2026-01-22,136.26,48.38,85.0,68.0,92.0,28.0,55.0
2026-01-23,136.35,48.53,85.0,68.0,92.0,28.0,55.0
2026-01-26,136.52,48.68,85.0,68.0,92.0,28.0,55.0
2026-01-27,136.39,48.83,85.0,68.0,92.0,28.0,55.0
2026-01-28,136.42,48.98,85.0,68.0,92.0,28.0,55.0
2026-01-29,136.42,49.13,85.0,68.0,92.0,28.0,55.0
2026-01-30,136.44,49.28,85.0,68.0,92.0,28.0,55.0
2026-02-02,136.02,49.44,85.0,68.0,92.0,28.0,55.0
2026-02-03,135.61,49.59,85.0,68.0,92.0,28.0,55.0
2026-02-04,134.85,49.74,85.0,68.0,92.0,28.0,55.0
2026-02-05,134.02,49.89,85.0,68.0,92.0,28.0,55.0
2026-02-06,133.11,50.04,85.0,68.0,92.0,28.0,55.0
2026-02-09,132.99,50.19,85.0,68.0,92.0,28.0,55.0
2026-02-10,132.55,50.34,85.0,68.0,92.0,28.0,55.0
2026-02-11,132.23,50.49,85.0,68.0,92.0,28.0,55.0
2026-02-12,132.5,50.64,85.0,68.0,92.0,28.0,55.0
2026-02-13,132.7,50.79,85.0,68.0,92.0,28.0,55.0
2026-02-24,133.02,50.94,85.0,68.0,92.0,28.0,55.0
2026-02-25,133.27,51.09,85.0,68.0,92.0,28.0,55.0
2026-02-26,133.54,51.25,85.0,68.0,92.0,28.0,55.0
2026-02-27,133.37,51.4,85.0,68.0,92.0,28.0,55.0
2026-03-02,133.19,51.55,85.0,68.0,92.0,28.0,55.0
2026-03-03,132.27,51.7,85.0,68.0,92.0,28.0,55.0
2026-03-04,132.53,51.85,85.0,68.0,92.0,28.0,55.0
2026-03-05,133.34,52.0,85.0,68.0,92.0,28.0,55.0
2026-03-06,134.8,52.0,85.0,68.0,92.0,28.0,55.0
2026-03-09,136.67,51.5,85.0,68.0,92.0,28.0,55.0
2026-03-10,138.92,51.0,85.0,68.0,92.0,28.0,55.0
2026-03-11,140.19,50.5,85.0,68.0,92.0,28.0,55.0
2026-03-12,140.57,50.0,85.0,68.0,92.0,28.0,55.0
2026-03-13,140.58,49.5,85.0,68.0,92.0,28.0,55.0
2026-03-16,141.28,49.0,85.0,68.0,92.0,28.0,55.0
2026-03-17,142.02,48.5,85.0,68.0,92.0,28.0,55.0
2026-03-18,143.49,48.0,85.0,68.0,92.0,28.0,55.0
2026-03-19,144.84,47.5,85.0,68.0,92.0,28.0,55.0
2026-03-20,145.81,47.0,85.0,68.0,92.0,28.0,55.0
2026-03-23,145.39,46.5,85.0,68.0,92.0,28.0,55.0
2026-03-24,145.25,46.0,85.0,68.0,92.0,28.0,55.0
2026-03-25,145.09,45.5,85.0,68.0,92.0,28.0,55.0
2026-03-26,144.95,45.0,85.0,68.0,92.0,28.0,55.0
2026-03-27,144.93,44.5,85.0,68.0,92.0,28.0,55.0
2026-03-30,145.16,44.0,85.0,68.0,92.0,28.0,55.0
2026-03-31,144.51,43.5,85.0,68.0,92.0,28.0,55.0
2026-04-01,143.25,43.0,85.0,68.0,92.0,28.0,55.0
2026-04-02,142.31,42.5,85.0,68.0,92.0,28.0,55.0
2026-04-03,141.37,42.0,85.0,68.0,92.0,28.0,55.0
2026-04-07,140.88,41.5,85.0,68.0,92.0,28.0,55.0
2026-04-08,141.48,41.0,85.0,68.0,92.0,28.0,55.0
2026-04-09,141.87,40.5,85.0,68.0,92.0,28.0,55.0
2026-04-10,142.9,40.0,85.0,68.0,92.0,28.0,55.0
2026-04-13,144.42,39.5,85.0,68.0,92.0,28.0,55.0
2026-04-14,146.78,39.0,85.0,68.0,92.0,28.0,55.0
2026-04-15,148.65,38.5,85.0,68.0,92.0,28.0,55.0
2026-04-16,150.63,38.0,85.0,68.0,92.0,28.0,55.0
2026-04-17,151.6,37.5,85.0,68.0,92.0,28.0,55.0
2026-04-20,152.03,37.0,85.0,68.0,92.0,28.0,55.0
2026-04-21,151.62,36.5,85.0,68.0,92.0,28.0,55.0
2026-04-22,151.48,36.0,85.0,68.0,92.0,28.0,55.0
2026-04-23,150.72,35.5,85.0,68.0,92.0,28.0,55.0
2026-04-24,150.59,35.0,85.0,68.0,92.0,28.0,55.0
2026-04-27,150.45,34.5,85.0,68.0,92.0,28.0,55.0
2026-04-28,149.94,34.0,85.0,68.0,92.0,28.0,55.0
2026-04-29,149.54,33.5,85.0,68.0,92.0,28.0,55.0
2026-04-30,149.57,33.0,85.0,68.0,92.0,28.0,55.0
2026-05-06,151.06,32.5,85.0,68.0,92.0,28.0,55.0
2026-05-07,152.24,32.0,85.0,68.0,92.0,28.0,55.0
2026-05-08,153.23,31.5,85.0,68.0,92.0,28.0,55.0
2026-05-11,154.79,31.0,85.0,68.0,92.0,28.0,55.0
2026-05-12,156.25,30.5,85.0,68.0,92.0,28.0,55.0
2026-05-13,156.83,30.0,85.0,68.0,92.0,28.0,55.0
2026-05-14,157.62,29.5,85.0,68.0,92.0,28.0,55.0
2026-05-15,158.15,29.0,85.0,68.0,92.0,28.0,55.0
2026-05-18,158.66,28.5,85.0,68.0,92.0,28.0,55.0
2026-05-19,158.81,28.0,85.0,68.0,92.0,28.0,55.0
2026-05-20,158.41,27.5,85.0,68.0,92.0,28.0,55.0
2026-05-21,157.67,27.0,85.0,68.0,92.0,28.0,55.0
2026-05-22,157.87,26.5,85.0,68.0,92.0,28.0,55.0
2026-05-25,157.52,26.0,85.0,68.0,92.0,28.0,55.0
2026-05-26,157.33,25.5,85.0,68.0,92.0,28.0,55.0
2026-05-27,157.34,25.0,85.0,68.0,92.0,28.0,55.0
2026-05-28,158.1,24.5,85.0,68.0,92.0,28.0,55.0
2026-05-29,158.61,24.0,85.0,68.0,92.0,28.0,55.0
2026-06-01,158.08,23.5,85.0,68.0,92.0,28.0,55.0
2026-06-02,157.93,23.0,85.0,68.0,92.0,28.0,55.0
2026-06-03,157.83,22.5,85.0,68.0,92.0,28.0,55.0
2026-06-04,158.42,22.0,85.0,68.0,92.0,28.0,55.0
2026-06-05,157.88,21.5,85.0,68.0,92.0,28.0,55.0
2026-06-08,157.33,21.0,85.0,68.0,92.0,28.0,55.0
2026-06-09,157.39,20.5,85.0,68.0,92.0,28.0,55.0
2026-06-10,157.49,20.0,85.0,68.0,92.0,28.0,55.0
2026-06-11,156.92,19.5,85.0,68.0,92.0,28.0,55.0
2026-06-12,157.48,19.0,85.0,68.0,92.0,28.0,55.0
2026-06-15,159.2,18.5,85.0,68.0,92.0,28.0,55.0
2026-06-16,160.39,18.0,85.0,68.0,92.0,28.0,55.0
2026-06-17,162.17,17.5,85.0,68.0,92.0,28.0,55.0
2026-06-18,164.24,17.0,85.0,68.0,92.0,28.0,55.0
2026-06-22,166.87,16.5,85.0,68.0,92.0,28.0,55.0
2026-06-23,168.53,16.0,85.0,68.0,92.0,28.0,55.0
2026-06-24,171.09,15.5,85.0,68.0,92.0,28.0,55.0
2026-06-25,174.77,15.0,85.0,68.0,92.0,28.0,55.0
2026-06-26,178.61,15.0,85.0,68.0,92.0,28.0,55.0
2026-06-29,181.97,14.25,85.0,68.0,92.0,28.0,55.0
2026-06-30,185.49,13.5,85.0,68.0,92.0,28.0,55.0
2026-07-01,187.03,12.75,85.0,68.0,92.0,28.0,55.0
2026-07-02,184.98,12.0,85.0,68.0,92.0,28.0,55.0
2026-07-03,182.53,11.25,85.0,68.0,92.0,28.0,55.0
2026-07-06,180.78,10.5,85.0,68.0,92.0,28.0,55.0
2026-07-07,178.46,9.75,85.0,68.0,92.0,28.0,55.0
2026-07-08,176.22,9.0,85.0,68.0,92.0,28.0,55.0
2026-07-09,176.22,8.25,85.0,68.0,92.0,28.0,55.0
2026-07-10,174.91,7.5,85.0,68.0,92.0,28.0,55.0
2026-07-13,171.06,6.75,85.0,68.0,92.0,28.0,55.0
2026-07-14,168.83,6.0,85.0,68.0,92.0,28.0,55.0
2026-07-15,165.76,5.25,85.0,68.0,92.0,28.0,55.0
2026-07-16,161.8,4.5,85.0,68.0,92.0,28.0,55.0
2026-07-17,157.27,3.75,85.0,68.0,92.0,28.0,55.0
2026-07-20,154.08,3.0,85.0,68.0,92.0,28.0,55.0
2026-07-21,151.16,2.25,85.0,68.0,92.0,28.0,55.0
2026-07-22,149.28,1.5,85.0,68.0,92.0,28.0,55.0
2026-07-23,147.62,0.75,85.0,68.0,92.0,28.0,55.0
2026-07-24,147.07,0.0,85.0,68.0,92.0,28.0,55.0
2026-07-27,146.97,-0.75,85.0,68.0,92.0,28.0,55.0
2026-07-28,144.93,-1.5,85.0,68.0,92.0,28.0,55.0
2026-07-29,143.71,-2.25,85.0,68.0,92.0,28.0,55.0
2026-07-30,142.69,-3.0,85.0,68.0,92.0,28.0,55.0
2026-07-31,142.34,-3.75,85.0,68.0,92.0,28.0,55.0
2026-08-03,141.19,-4.5,85.0,68.0,92.0,28.0,55.0
2026-08-04,141.45,-5.25,85.0,68.0,92.0,28.0,55.0
2026-08-05,142.16,-6.0,85.0,68.0,92.0,28.0,55.0
2026-08-06,142.6,-6.75,85.0,68.0,92.0,28.0,55.0
2026-08-07,143.23,-7.5,85.0,68.0,92.0,28.0,55.0
2026-08-10,144.4,-8.25,85.0,68.0,92.0,28.0,55.0
2026-08-11,145.22,-9.0,85.0,68.0,92.0,28.0,55.0
2026-08-12,145.62,-9.75,85.0,68.0,92.0,28.0,55.0
2026-08-13,145.69,-10.5,85.0,68.0,92.0,28.0,55.0
2026-08-14,145.59,-11.25,85.0,68.0,92.0,28.0,55.0
2026-08-17,146.09,-12.0,85.0,68.0,92.0,28.0,55.0
2026-08-18,146.46,-12.75,85.0,68.0,92.0,28.0,55.0
2026-08-19,146.02,-13.5,85.0,68.0,92.0,28.0,55.0
2026-08-20,146.01,-14.25,85.0,68.0,92.0,28.0,55.0
2026-08-21,145.9,-15.0,85.0,68.0,92.0,28.0,55.0
2026-08-24,144.86,-15.75,85.0,68.0,92.0,28.0,55.0
2026-08-25,144.01,-16.5,85.0,68.0,92.0,28.0,55.0
2026-08-26,143.74,-17.25,85.0,68.0,92.0,28.0,55.0
2026-08-27,143.86,-18.0,85.0,68.0,92.0,28.0,55.0
